Load Condition,Peak Accel (mm/s²),RMS Accel (mm/s²),Peak Rope Stress (MPa),Mean Rope Stress (MPa)
No Load,765.4569092342936,252.0707355226201,153.90141136205042,150.99073465540806
Half Load,765.4569110708036,252.07073631759553,378.9014113714108,375.9907346580748
Full Load,765.4569129073012,252.07073711256868,603.9014113807712,600.9907346607416
